Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
RETDAYESX340	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX340	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX401	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX401	XIV_6050013	1270.691	svcmbge01v	T1
RETDAYESX402	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX402	XIV_6050013	1270.691	svcmbge01v	T1
RETDAYESX403	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX403	XIV_6050013	1270.691	svcmbge01v	T1
RETDAYESX404	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX404	XIV_6050013	1270.691	svcmbge01v	T1
RETDAYESX407	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX407	XIV_6050013	1270.691	svcmbge01v	T1
RETDAYESX408	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX408	XIV_6050013	1270.691	svcmbge01v	T1
RETDAYESX453	XIV_7820520	399.360	svcmbge01v	T1
RETDAYESX453	XIV_6050008	3194.880	svcmbge01v	T1
RETDAYESX453	XIV_7825620	665.600	svcmbge01v	T1
RETDAYESX454	XIV_7820520	399.360	svcmbge01v	T1
RETDAYESX454	XIV_6050008	3194.880	svcmbge01v	T1
RETDAYESX454	XIV_7825620	665.600	svcmbge01v	T1
RETDAYESX455	XIV_7820520	399.360	svcmbge01v	T1
RETDAYESX455	XIV_6050008	3194.880	svcmbge01v	T1
RETDAYESX455	XIV_7825620	665.600	svcmbge01v	T1
RETDAYESX458	XIV_7820520	399.360	svcmbge01v	T1
RETDAYESX458	XIV_6050008	3194.880	svcmbge01v	T1
RETDAYESX459	XIV_7820520	399.360	svcmbge01v	T1
RETDAYESX459	XIV_6050008	3194.880	svcmbge01v	T1
RETDAYESX491	XIV_7820623	1574.400	svcmbge01v	T1
RETDAYESX491	XIV_7820520	250.000	svcmbge01v	T1
RETDAYESX491	XIV_6050008	1497.600	svcmbge01v	T1
RETDAYESX491	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX492	XIV_7820623	1574.400	svcmbge01v	T1
RETDAYESX492	XIV_7820520	250.000	svcmbge01v	T1
RETDAYESX492	XIV_6050008	1497.600	svcmbge01v	T1
RETDAYESX492	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX493	XIV_7820623	1574.400	svcmbge01v	T1
RETDAYESX493	XIV_7820520	250.000	svcmbge01v	T1
RETDAYESX493	XIV_6050008	1497.600	svcmbge01v	T1
RETDAYESX493	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX494	XIV_7820623	1574.400	svcmbge01v	T1
RETDAYESX494	XIV_7820520	250.000	svcmbge01v	T1
RETDAYESX494	XIV_6050008	1497.600	svcmbge01v	T1
RETDAYESX494	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX501	XIV_6050008	1996.800	svcmbge01v	T1
RETDAYESX502	XIV_6050008	1996.800	svcmbge01v	T1
RETDAYESX503	XIV_6050008	1996.800	svcmbge01v	T1
RETDAYESX601	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX602	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX603	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX604	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX605	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX606	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX607	XIV_6050013	2969.600	svcmbge01v	T1
